id_produto,nome_produto,categoria,preco_venda,custo_unitario
P0049,Item SKU Industrial 49,Eletrônicos,112.31,65.38
P0050,Item SKU Industrial 50,Embalagens,18.89,10.59
P0051,Item SKU Industrial 51,Plásticos,129.62,73.82
P0052,Item SKU Industrial 52,Embalagens,97.38,59.09
P0053,Item SKU Industrial 53,Metalmecânica,337.99,184.6
P0054,Item SKU Industrial 54,Plásticos,74.83,34.28
P0055,Item SKU Industrial 55,Eletrônicos,28.68,13.85
P0056,Item SKU Industrial 56,Metalmecânica,33.15,17.83
P0057,Item SKU Industrial 57,Plásticos,225.01,133.87
P0058,Item SKU Industrial 58,Eletrônicos,154.44,87.82
P0059,Item SKU Industrial 59,Metalmecânica,25.99,15.08
P0060,Item SKU Industrial 60,Metalmecânica,23.18,12.65
P0061,Item SKU Industrial 61,Plásticos,191.08,109.52
P0062,Item SKU Industrial 62,Químicos,21.33,11.0
P0063,Item SKU Industrial 63,Metalmecânica,268.78,146.23
P0064,Item SKU Industrial 64,Metalmecânica,193.75,116.03
P0065,Item SKU Industrial 65,Eletrônicos,22.73,14.19
P0066,Item SKU Industrial 66,Embalagens,23.3,12.51
P0067,Item SKU Industrial 67,Plásticos,657.32,301.53
P0068,Item SKU Industrial 68,Plásticos,80.33,38.75
P0069,Item SKU Industrial 69,Químicos,79.46,36.09
P0070,Item SKU Industrial 70,Químicos,261.34,151.75
P0071,Item SKU Industrial 71,Plásticos,451.32,233.09
P0072,Item SKU Industrial 72,Químicos,650.32,363.2
P0073,Item SKU Industrial 73,Eletrônicos,219.98,120.69
P0074,Item SKU Industrial 74,Plásticos,80.8,37.68
P0075,Item SKU Industrial 75,Químicos,23.08,12.25
P0076,Item SKU Industrial 76,Plásticos,235.19,116.21
P0077,Item SKU Industrial 77,Embalagens,132.6,70.77
P0078,Item SKU Industrial 78,Metalmecânica,92.8,45.54
P0079,Item SKU Industrial 79,Plásticos,365.24,225.75
P0080,Item SKU Industrial 80,Metalmecânica,27.68,13.42
P0081,Item SKU Industrial 81,Químicos,111.78,71.78
P0082,Item SKU Industrial 82,Metalmecânica,11.71,6.24
P0083,Item SKU Industrial 83,Plásticos,104.85,64.93
P0084,Item SKU Industrial 84,Embalagens,18.69,10.76
P0085,Item SKU Industrial 85,Químicos,28.97,17.3
P0086,Item SKU Industrial 86,Plásticos,28.75,17.35
P0087,Item SKU Industrial 87,Químicos,167.14,92.09
P0088,Item SKU Industrial 88,Eletrônicos,215.59,120.44
P0089,Item SKU Industrial 89,Metalmecânica,141.33,78.13
P0090,Item SKU Industrial 90,Eletrônicos,501.21,284.49
P0091,Item SKU Industrial 91,Plásticos,80.47,36.68
P0092,Item SKU Industrial 92,Embalagens,60.47,31.99
P0093,Item SKU Industrial 93,Químicos,314.43,179.61
P0094,Item SKU Industrial 94,Metalmecânica,47.96,27.32
P0095,Item SKU Industrial 95,Químicos,505.43,307.6
P0096,Item SKU Industrial 96,Plásticos,11.83,6.87
P0097,Item SKU Industrial 97,Químicos,535.38,347.15
P0098,Item SKU Industrial 98,Metalmecânica,16.62,8.42
P0099,Item SKU Industrial 99,Plásticos,342.66,178.81
P0100,Item SKU Industrial 100,Químicos,122.52,64.54
P0101,Item SKU Industrial 101,Embalagens,753.52,409.28
P0102,Item SKU Industrial 102,Plásticos,21.5,13.27
P0103,Item SKU Industrial 103,Plásticos,131.07,65.16
P0104,Item SKU Industrial 104,Embalagens,532.54,322.29
P0105,Item SKU Industrial 105,Eletrônicos,121.07,64.3
P0106,Item SKU Industrial 106,Metalmecânica,158.89,90.63
P0107,Item SKU Industrial 107,Eletrônicos,188.49,108.67
P0108,Item SKU Industrial 108,Químicos,100.92,52.94
P0109,Item SKU Industrial 109,Embalagens,158.15,87.38
P0110,Item SKU Industrial 110,Eletrônicos,141.67,75.45
P0111,Item SKU Industrial 111,Plásticos,357.13,165.65
P0112,Item SKU Industrial 112,Químicos,16.98,9.13
P0113,Item SKU Industrial 113,Químicos,59.48,27.92
P0114,Item SKU Industrial 114,Eletrônicos,460.6,244.58
P0115,Item SKU Industrial 115,Eletrônicos,341.45,194.14
P0116,Item SKU Industrial 116,Embalagens,101.23,57.28
P0117,Item SKU Industrial 117,Metalmecânica,155.19,90.4
P0118,Item SKU Industrial 118,Eletrônicos,58.73,27.55
P0119,Item SKU Industrial 119,Eletrônicos,41.26,23.95
P0120,Item SKU Industrial 120,Plásticos,103.46,53.02
P0121,Item SKU Industrial 121,Químicos,75.39,39.94
P0122,Item SKU Industrial 122,Metalmecânica,141.44,87.92
P0123,Item SKU Industrial 123,Plásticos,22.14,10.0
P0124,Item SKU Industrial 124,Embalagens,559.74,317.75
P0125,Item SKU Industrial 125,Embalagens,652.58,371.8
P0126,Item SKU Industrial 126,Eletrônicos,189.68,100.4
P0127,Item SKU Industrial 127,Eletrônicos,125.21,62.28
P0128,Item SKU Industrial 128,Embalagens,65.56,32.58
P0129,Item SKU Industrial 129,Eletrônicos,262.14,164.29
P0130,Item SKU Industrial 130,Metalmecânica,183.15,98.61
P0131,Item SKU Industrial 131,Eletrônicos,36.62,18.9
P0132,Item SKU Industrial 132,Químicos,372.75,201.19
P0133,Item SKU Industrial 133,Eletrônicos,269.35,157.27
P0134,Item SKU Industrial 134,Plásticos,458.76,219.82
P0135,Item SKU Industrial 135,Metalmecânica,204.04,110.16
P0136,Item SKU Industrial 136,Plásticos,152.56,86.59
P0137,Item SKU Industrial 137,Plásticos,91.26,58.38
P0138,Item SKU Industrial 138,Químicos,414.85,207.63
P0139,Item SKU Industrial 139,Metalmecânica,311.56,162.59
P0140,Item SKU Industrial 140,Metalmecânica,16.94,8.91
P0141,Item SKU Industrial 141,Metalmecânica,14.01,8.0
P0142,Item SKU Industrial 142,Metalmecânica,80.85,42.15
P0143,Item SKU Industrial 143,Metalmecânica,259.55,144.49
P0144,Item SKU Industrial 144,Químicos,664.64,403.01
P0145,Item SKU Industrial 145,Eletrônicos,34.45,20.36
P0146,Item SKU Industrial 146,Plásticos,145.26,78.33
P0147,Item SKU Industrial 147,Metalmecânica,81.92,51.02
P0148,Item SKU Industrial 148,Eletrônicos,535.56,300.79
P0149,Item SKU Industrial 149,Eletrônicos,286.89,160.08
P0150,Item SKU Industrial 150,Plásticos,283.33,129.44
P0151,Item SKU Industrial 151,Químicos,104.86,67.88
P0152,Item SKU Industrial 152,Embalagens,90.38,42.89
P0153,Item SKU Industrial 153,Embalagens,57.91,28.74
P0154,Item SKU Industrial 154,Eletrônicos,18.7,8.61
P0155,Item SKU Industrial 155,Plásticos,310.06,179.21
P0156,Item SKU Industrial 156,Embalagens,261.42,129.39
P0157,Item SKU Industrial 157,Eletrônicos,1235.87,600.64
P0158,Item SKU Industrial 158,Químicos,864.23,404.21
P0159,Item SKU Industrial 159,Embalagens,131.6,61.94
P0160,Item SKU Industrial 160,Eletrônicos,229.79,130.28
P0161,Item SKU Industrial 161,Eletrônicos,444.43,261.17
P0162,Item SKU Industrial 162,Metalmecânica,294.22,155.78
P0163,Item SKU Industrial 163,Químicos,52.62,28.73
P0164,Item SKU Industrial 164,Metalmecânica,99.82,58.61
P0165,Item SKU Industrial 165,Plásticos,30.74,13.94
P0166,Item SKU Industrial 166,Metalmecânica,472.03,242.92
P0167,Item SKU Industrial 167,Metalmecânica,149.78,96.55
P0168,Item SKU Industrial 168,Embalagens,48.94,27.7
P0169,Item SKU Industrial 169,Eletrônicos,177.07,88.68
P0170,Item SKU Industrial 170,Químicos,154.4,85.59
P0171,Item SKU Industrial 171,Metalmecânica,76.51,39.67
P0172,Item SKU Industrial 172,Químicos,28.08,15.63
P0173,Item SKU Industrial 173,Metalmecânica,177.02,84.11
P0174,Item SKU Industrial 174,Plásticos,120.19,57.28
P0175,Item SKU Industrial 175,Metalmecânica,231.97,111.05
P0176,Item SKU Industrial 176,Embalagens,120.15,76.65
P0177,Item SKU Industrial 177,Eletrônicos,296.77,177.05
P0178,Item SKU Industrial 178,Plásticos,130.41,62.92
P0179,Item SKU Industrial 179,Metalmecânica,133.47,65.09
P0180,Item SKU Industrial 180,Químicos,323.91,193.1
P0181,Item SKU Industrial 181,Plásticos,87.5,42.11
P0182,Item SKU Industrial 182,Plásticos,31.58,15.69
P0183,Item SKU Industrial 183,Metalmecânica,14.38,9.24
P0184,Item SKU Industrial 184,Plásticos,221.06,110.76
P0185,Item SKU Industrial 185,Químicos,155.26,90.41
P0186,Item SKU Industrial 186,Plásticos,192.65,124.4
P0187,Item SKU Industrial 187,Químicos,45.92,24.1
P0188,Item SKU Industrial 188,Metalmecânica,31.99,14.51
P0189,Item SKU Industrial 189,Eletrônicos,12.2,6.09
P0190,Item SKU Industrial 190,Plásticos,74.75,46.06
P0191,Item SKU Industrial 191,Eletrônicos,143.71,89.52
P0192,Item SKU Industrial 192,Químicos,84.7,51.13
P0193,Item SKU Industrial 193,Plásticos,96.3,45.51
P0194,Item SKU Industrial 194,Embalagens,361.76,220.35
P0195,Item SKU Industrial 195,Eletrônicos,74.22,47.04
P0196,Item SKU Industrial 196,Plásticos,118.23,67.41
P0197,Item SKU Industrial 197,Eletrônicos,239.63,152.93
P0198,Item SKU Industrial 198,Plásticos,85.76,52.77
P0199,Item SKU Industrial 199,Metalmecânica,155.96,90.99
P0200,Item SKU Industrial 200,Eletrônicos,307.47,173.85
P0201,Item SKU Industrial 201,Embalagens,457.93,237.99
P0202,Item SKU Industrial 202,Embalagens,33.86,16.32
P0203,Item SKU Industrial 203,Químicos,401.75,229.4
P0204,Item SKU Industrial 204,Plásticos,111.63,57.34
P0205,Item SKU Industrial 205,Eletrônicos,54.81,34.16
P0206,Item SKU Industrial 206,Químicos,102.19,66.29
P0207,Item SKU Industrial 207,Eletrônicos,597.05,358.52
P0208,Item SKU Industrial 208,Plásticos,111.77,52.32
P0209,Item SKU Industrial 209,Embalagens,69.79,35.43
P0210,Item SKU Industrial 210,Metalmecânica,160.52,75.74
P0211,Item SKU Industrial 211,Embalagens,51.19,29.7
P0212,Item SKU Industrial 212,Químicos,21.83,13.16
P0213,Item SKU Industrial 213,Metalmecânica,30.7,19.5
P0214,Item SKU Industrial 214,Químicos,30.55,16.42
P0215,Item SKU Industrial 215,Plásticos,34.71,21.88
P0216,Item SKU Industrial 216,Metalmecânica,32.42,20.28
P0217,Item SKU Industrial 217,Químicos,163.61,84.0
P0218,Item SKU Industrial 218,Plásticos,40.11,25.02
P0219,Item SKU Industrial 219,Embalagens,73.62,38.66
P0220,Item SKU Industrial 220,Plásticos,350.65,178.61
P0221,Item SKU Industrial 221,Eletrônicos,106.36,61.67
P0222,Item SKU Industrial 222,Plásticos,175.19,90.34
P0223,Item SKU Industrial 223,Plásticos,38.37,22.1
P0224,Item SKU Industrial 224,Eletrônicos,42.03,24.04
P0225,Item SKU Industrial 225,Químicos,16.26,9.15
P0226,Item SKU Industrial 226,Químicos,37.76,19.86
P0227,Item SKU Industrial 227,Plásticos,58.98,33.01
P0228,Item SKU Industrial 228,Eletrônicos,39.22,22.33
P0229,Item SKU Industrial 229,Eletrônicos,23.93,13.38
P0230,Item SKU Industrial 230,Embalagens,29.28,15.78
P0231,Item SKU Industrial 231,Químicos,102.64,46.49
P0232,Item SKU Industrial 232,Metalmecânica,44.66,25.34
P0233,Item SKU Industrial 233,Químicos,77.95,37.7
P0234,Item SKU Industrial 234,Químicos,115.0,66.53
P0235,Item SKU Industrial 235,Embalagens,185.87,111.87
P0236,Item SKU Industrial 236,Metalmecânica,16.02,8.81
P0237,Item SKU Industrial 237,Embalagens,250.97,140.16
P0238,Item SKU Industrial 238,Metalmecânica,158.29,101.35
P0239,Item SKU Industrial 239,Plásticos,22.79,14.12
P0240,Item SKU Industrial 240,Metalmecânica,320.22,202.65
P0241,Item SKU Industrial 241,Embalagens,390.5,239.28
P0242,Item SKU Industrial 242,Químicos,19.45,9.18
P0243,Item SKU Industrial 243,Metalmecânica,58.63,28.13
P0244,Item SKU Industrial 244,Metalmecânica,256.14,142.24
P0245,Item SKU Industrial 245,Eletrônicos,216.9,108.28
P0246,Item SKU Industrial 246,Químicos,40.6,22.14
P0247,Item SKU Industrial 247,Plásticos,45.23,23.92
P0248,Item SKU Industrial 248,Embalagens,79.42,44.47
P0249,Item SKU Industrial 249,Plásticos,109.4,65.57
P0250,Item SKU Industrial 250,Químicos,154.45,91.6
P0251,Item SKU Industrial 251,Metalmecânica,79.05,43.81
P0252,Item SKU Industrial 252,Metalmecânica,103.13,63.37
P0253,Item SKU Industrial 253,Químicos,216.43,116.04
P0254,Item SKU Industrial 254,Metalmecânica,15.61,9.82
P0255,Item SKU Industrial 255,Metalmecânica,53.64,24.9
P0256,Item SKU Industrial 256,Metalmecânica,197.42,126.53
P0257,Item SKU Industrial 257,Embalagens,348.37,202.38
P0258,Item SKU Industrial 258,Embalagens,117.52,61.82
P0259,Item SKU Industrial 259,Eletrônicos,123.93,60.66
P0260,Item SKU Industrial 260,Plásticos,27.0,14.74
P0261,Item SKU Industrial 261,Químicos,98.97,48.39
P0262,Item SKU Industrial 262,Químicos,124.09,59.97
P0263,Item SKU Industrial 263,Químicos,51.65,29.62
P0264,Item SKU Industrial 264,Eletrônicos,57.05,31.64
P0265,Item SKU Industrial 265,Embalagens,81.05,47.33
P0266,Item SKU Industrial 266,Eletrônicos,13.04,8.29
P0267,Item SKU Industrial 267,Químicos,68.31,38.01
P0268,Item SKU Industrial 268,Plásticos,45.63,25.84
P0269,Item SKU Industrial 269,Metalmecânica,69.51,32.53
P0270,Item SKU Industrial 270,Embalagens,29.13,17.29
P0271,Item SKU Industrial 271,Embalagens,341.81,181.15
P0272,Item SKU Industrial 272,Eletrônicos,145.06,93.61
P0273,Item SKU Industrial 273,Embalagens,180.49,110.94
P0274,Item SKU Industrial 274,Químicos,243.51,135.03
P0275,Item SKU Industrial 275,Químicos,113.51,53.88
P0276,Item SKU Industrial 276,Eletrônicos,23.64,14.7
P0277,Item SKU Industrial 277,Químicos,125.54,76.57
P0278,Item SKU Industrial 278,Plásticos,142.59,69.43
P0279,Item SKU Industrial 279,Eletrônicos,215.23,109.56
P0280,Item SKU Industrial 280,Plásticos,94.76,57.68
P0281,Item SKU Industrial 281,Metalmecânica,30.47,14.84
P0282,Item SKU Industrial 282,Plásticos,60.06,38.05
P0283,Item SKU Industrial 283,Metalmecânica,77.67,41.55
P0284,Item SKU Industrial 284,Metalmecânica,165.73,77.46
P0285,Item SKU Industrial 285,Plásticos,136.87,83.92
P0286,Item SKU Industrial 286,Eletrônicos,76.03,39.89
P0287,Item SKU Industrial 287,Químicos,655.93,364.24
P0288,Item SKU Industrial 288,Químicos,149.62,70.69
P0289,Item SKU Industrial 289,Metalmecânica,50.62,22.81
P0290,Item SKU Industrial 290,Metalmecânica,26.1,15.08
P0291,Item SKU Industrial 291,Eletrônicos,34.88,19.29
P0292,Item SKU Industrial 292,Embalagens,52.35,29.77
P0293,Item SKU Industrial 293,Plásticos,36.27,22.08
P0294,Item SKU Industrial 294,Metalmecânica,40.97,23.73
P0295,Item SKU Industrial 295,Químicos,60.34,29.26
P0296,Item SKU Industrial 296,Eletrônicos,38.56,20.13
P0297,Item SKU Industrial 297,Plásticos,350.61,221.3
P0298,Item SKU Industrial 298,Eletrônicos,22.55,13.62
P0299,Item SKU Industrial 299,Plásticos,121.51,68.21
P0300,Item SKU Industrial 300,Plásticos,89.25,44.73
P0301,Item SKU Industrial 301,Metalmecânica,615.8,314.31
P0302,Item SKU Industrial 302,Eletrônicos,27.82,16.59
P0303,Item SKU Industrial 303,Eletrônicos,86.09,53.4
P0304,Item SKU Industrial 304,Químicos,533.36,311.63
P0305,Item SKU Industrial 305,Químicos,310.94,190.27
P0306,Item SKU Industrial 306,Metalmecânica,264.8,159.76
P0307,Item SKU Industrial 307,Metalmecânica,54.74,26.27
P0308,Item SKU Industrial 308,Embalagens,38.11,20.38
P0309,Item SKU Industrial 309,Químicos,175.68,84.43
P0310,Item SKU Industrial 310,Plásticos,407.56,202.58
P0311,Item SKU Industrial 311,Eletrônicos,132.05,82.38
P0312,Item SKU Industrial 312,Metalmecânica,137.16,74.69
P0313,Item SKU Industrial 313,Eletrônicos,59.27,33.02
P0314,Item SKU Industrial 314,Eletrônicos,230.12,111.77
P0315,Item SKU Industrial 315,Embalagens,41.06,21.04
P0316,Item SKU Industrial 316,Químicos,68.66,34.06
P0317,Item SKU Industrial 317,Metalmecânica,93.12,45.74
P0318,Item SKU Industrial 318,Eletrônicos,116.27,67.16
P0319,Item SKU Industrial 319,Metalmecânica,51.64,25.89
P0320,Item SKU Industrial 320,Plásticos,28.3,16.31
P0321,Item SKU Industrial 321,Embalagens,151.48,69.94
P0322,Item SKU Industrial 322,Plásticos,61.08,29.22
P0323,Item SKU Industrial 323,Metalmecânica,140.57,70.97
P0324,Item SKU Industrial 324,Metalmecânica,35.15,20.01
P0325,Item SKU Industrial 325,Químicos,108.42,63.44
P0326,Item SKU Industrial 326,Eletrônicos,124.08,66.82
P0327,Item SKU Industrial 327,Eletrônicos,17.98,9.69
P0328,Item SKU Industrial 328,Plásticos,71.56,42.57
P0329,Item SKU Industrial 329,Embalagens,31.65,14.34
P0330,Item SKU Industrial 330,Eletrônicos,19.82,10.27
P0331,Item SKU Industrial 331,Químicos,700.18,429.73
P0332,Item SKU Industrial 332,Plásticos,68.37,39.01
P0333,Item SKU Industrial 333,Plásticos,259.01,134.02
P0334,Item SKU Industrial 334,Químicos,54.08,34.13
P0335,Item SKU Industrial 335,Embalagens,181.62,109.79
P0336,Item SKU Industrial 336,Químicos,224.21,112.77
P0337,Item SKU Industrial 337,Embalagens,145.82,84.44
P0338,Item SKU Industrial 338,Químicos,105.68,60.15
P0339,Item SKU Industrial 339,Químicos,89.61,47.51
P0340,Item SKU Industrial 340,Metalmecânica,74.36,38.92
P0341,Item SKU Industrial 341,Plásticos,407.88,211.57
P0342,Item SKU Industrial 342,Químicos,276.34,158.46
P0343,Item SKU Industrial 343,Químicos,512.98,276.23
P0344,Item SKU Industrial 344,Eletrônicos,29.91,18.44
P0345,Item SKU Industrial 345,Plásticos,206.88,120.8
P0346,Item SKU Industrial 346,Eletrônicos,427.92,198.55
P0347,Item SKU Industrial 347,Plásticos,39.99,23.12
P0348,Item SKU Industrial 348,Eletrônicos,20.32,10.25
P0349,Item SKU Industrial 349,Químicos,212.71,120.94
P0350,Item SKU Industrial 350,Químicos,138.16,80.97
P0351,Item SKU Industrial 351,Metalmecânica,286.61,142.21
P0352,Item SKU Industrial 352,Eletrônicos,32.58,17.64
P0353,Item SKU Industrial 353,Embalagens,247.91,121.0
P0354,Item SKU Industrial 354,Metalmecânica,43.78,20.16
P0355,Item SKU Industrial 355,Eletrônicos,36.81,19.35
P0356,Item SKU Industrial 356,Eletrônicos,36.92,19.29
P0357,Item SKU Industrial 357,Metalmecânica,262.77,170.56
P0358,Item SKU Industrial 358,Químicos,174.13,93.9
P0359,Item SKU Industrial 359,Eletrônicos,121.06,62.55
P0360,Item SKU Industrial 360,Químicos,76.67,43.4
P0361,Item SKU Industrial 361,Metalmecânica,324.58,151.82
P0362,Item SKU Industrial 362,Químicos,84.75,54.44
P0363,Item SKU Industrial 363,Plásticos,264.41,152.56
P0364,Item SKU Industrial 364,Embalagens,96.74,58.14
P0365,Item SKU Industrial 365,Eletrônicos,80.97,39.2
P0366,Item SKU Industrial 366,Embalagens,103.17,54.88
P0367,Item SKU Industrial 367,Químicos,63.8,34.1
P0368,Item SKU Industrial 368,Eletrônicos,216.52,133.02
P0369,Item SKU Industrial 369,Químicos,114.79,51.68
P0370,Item SKU Industrial 370,Plásticos,49.64,25.32
P0371,Item SKU Industrial 371,Metalmecânica,354.75,229.26
P0372,Item SKU Industrial 372,Eletrônicos,82.65,45.04
P0373,Item SKU Industrial 373,Plásticos,127.64,67.2
P0374,Item SKU Industrial 374,Plásticos,365.42,173.2
P0375,Item SKU Industrial 375,Eletrônicos,156.82,101.12
P0376,Item SKU Industrial 376,Químicos,28.65,13.01
P0377,Item SKU Industrial 377,Plásticos,431.59,257.85
P0378,Item SKU Industrial 378,Embalagens,158.21,95.51
P0379,Item SKU Industrial 379,Plásticos,71.17,35.49
P0380,Item SKU Industrial 380,Químicos,32.5,18.99
P0381,Item SKU Industrial 381,Químicos,247.0,115.74
P0382,Item SKU Industrial 382,Embalagens,155.17,77.8
P0383,Item SKU Industrial 383,Plásticos,124.36,75.56
P0384,Item SKU Industrial 384,Químicos,346.5,215.85
P0385,Item SKU Industrial 385,Eletrônicos,243.1,138.98
P0386,Item SKU Industrial 386,Metalmecânica,34.67,19.12
P0387,Item SKU Industrial 387,Metalmecânica,66.03,31.82
P0388,Item SKU Industrial 388,Metalmecânica,52.85,24.45
P0389,Item SKU Industrial 389,Plásticos,214.36,101.51
P0390,Item SKU Industrial 390,Embalagens,15.12,7.49
P0391,Item SKU Industrial 391,Químicos,136.56,70.78
P0392,Item SKU Industrial 392,Eletrônicos,225.61,118.71
P0393,Item SKU Industrial 393,Eletrônicos,324.05,168.27
P0394,Item SKU Industrial 394,Plásticos,72.8,36.24
P0395,Item SKU Industrial 395,Metalmecânica,268.27,148.07
P0396,Item SKU Industrial 396,Plásticos,27.59,16.97
P0397,Item SKU Industrial 397,Embalagens,291.06,147.26
P0398,Item SKU Industrial 398,Embalagens,30.46,19.45
P0399,Item SKU Industrial 399,Químicos,85.95,53.69
P0400,Item SKU Industrial 400,Químicos,249.4,120.3
P0401,Item SKU Industrial 401,Embalagens,34.36,20.87
P0402,Item SKU Industrial 402,Embalagens,49.06,27.71
P0403,Item SKU Industrial 403,Embalagens,202.16,113.88
P0404,Item SKU Industrial 404,Plásticos,200.96,106.15
P0405,Item SKU Industrial 405,Embalagens,163.73,90.09
P0406,Item SKU Industrial 406,Eletrônicos,187.6,99.32
P0407,Item SKU Industrial 407,Metalmecânica,127.37,71.07
P0408,Item SKU Industrial 408,Embalagens,53.51,30.8
P0409,Item SKU Industrial 409,Metalmecânica,73.63,43.06
P0410,Item SKU Industrial 410,Plásticos,40.06,22.29
P0411,Item SKU Industrial 411,Metalmecânica,368.63,219.07
P0412,Item SKU Industrial 412,Plásticos,141.34,67.6
P0413,Item SKU Industrial 413,Eletrônicos,86.84,42.76
P0414,Item SKU Industrial 414,Plásticos,102.99,63.21
P0415,Item SKU Industrial 415,Plásticos,451.42,232.26
P0416,Item SKU Industrial 416,Químicos,34.97,15.9
P0417,Item SKU Industrial 417,Embalagens,142.37,68.45
P0418,Item SKU Industrial 418,Embalagens,115.75,57.26
P0419,Item SKU Industrial 419,Eletrônicos,151.8,97.37
P0420,Item SKU Industrial 420,Eletrônicos,12.74,7.19
P0421,Item SKU Industrial 421,Embalagens,318.5,202.74
P0422,Item SKU Industrial 422,Químicos,413.5,233.64
P0423,Item SKU Industrial 423,Embalagens,134.91,73.64
P0424,Item SKU Industrial 424,Químicos,188.93,96.87
P0425,Item SKU Industrial 425,Eletrônicos,393.62,224.86
P0426,Item SKU Industrial 426,Metalmecânica,194.26,92.83
P0427,Item SKU Industrial 427,Eletrônicos,34.83,21.93
P0428,Item SKU Industrial 428,Eletrônicos,138.81,85.49
P0429,Item SKU Industrial 429,Plásticos,149.98,77.02
P0430,Item SKU Industrial 430,Plásticos,92.78,59.43
P0431,Item SKU Industrial 431,Plásticos,210.02,129.17
P0432,Item SKU Industrial 432,Plásticos,418.55,244.12
P0433,Item SKU Industrial 433,Químicos,399.68,189.59
P0434,Item SKU Industrial 434,Embalagens,99.9,54.51
P0435,Item SKU Industrial 435,Metalmecânica,28.03,15.45
P0436,Item SKU Industrial 436,Eletrônicos,638.38,316.96
P0437,Item SKU Industrial 437,Químicos,283.86,132.28
P0438,Item SKU Industrial 438,Metalmecânica,29.97,18.14
P0439,Item SKU Industrial 439,Químicos,390.45,185.23
P0440,Item SKU Industrial 440,Químicos,315.91,179.71
P0441,Item SKU Industrial 441,Eletrônicos,119.73,76.3
P0442,Item SKU Industrial 442,Embalagens,144.21,90.16
P0443,Item SKU Industrial 443,Plásticos,86.37,43.66
P0444,Item SKU Industrial 444,Embalagens,18.45,11.44
P0445,Item SKU Industrial 445,Eletrônicos,71.24,32.06
P0446,Item SKU Industrial 446,Eletrônicos,253.57,115.0
P0447,Item SKU Industrial 447,Eletrônicos,10.7,6.1
P0448,Item SKU Industrial 448,Metalmecânica,70.86,37.06
P0449,Item SKU Industrial 449,Embalagens,86.17,45.44
P0450,Item SKU Industrial 450,Embalagens,125.63,70.72
P0451,Item SKU Industrial 451,Químicos,388.59,189.77
P0452,Item SKU Industrial 452,Químicos,73.78,36.33
P0453,Item SKU Industrial 453,Químicos,73.92,40.43
P0454,Item SKU Industrial 454,Eletrônicos,210.63,126.56
P0455,Item SKU Industrial 455,Embalagens,100.28,57.55
